User_ID,Card_Number,Amount,Time,Location,Previous_Transaction_Minutes_Gap,Transaction_Type,Is_Fraud
UID00368,5109542527,132.48,12:57,Jamtara,1440.0,Bank Transfer,0
UID00522,4820727126,1107.06,01:44,Kolkata,5.0,Bank Transfer,0
UID00542,1326727332,714.33,14:58,Tarapith,180.0,UPI Transfer,0
UID00903,9588194687,3787.56,18:43,Pune,5.0,Bank Transfer,0
UID00621,9313675726,2572.71,22:52,Tarapith,0.5,POS Purchase,0
UID00664,6783203161,4384.05,15:28,Kolkata,0.5,POS Purchase,0
UID00042,3883331518,616.46,12:17,Delhi,1440.0,Online Purchase,0
UID00433,2801938895,452.62,11:17,Kolkata,10.0,Bank Transfer,0
UID00930,1573415910,3897.01,00:32,Tarapith,180.0,ATM Withdrawal,0
UID00389,5046026224,2805.75,19:08,Pune,5.0,POS Purchase,0
UID00800,8261350621,4.28,03:54,Delhi,720.0,Online Purchase,1
UID00726,9810997526,2150.16,11:03,Tarapith,1440.0,ATM Withdrawal,0
UID00095,6821407373,2674.73,14:05,Delhi,30.0,ATM Withdrawal,0
UID00199,9092005626,2463.64,20:11,Delhi,30.0,UPI Transfer,0
UID00845,5798889213,2363.05,17:07,Bangalore,60.0,ATM Withdrawal,0
UID00803,3229725401,3004.03,21:15,Hyderabad,1440.0,POS Purchase,0
UID00904,5431886459,2327.16,01:03,Hyderabad,720.0,Bank Transfer,0
UID00276,6366983755,3276.79,08:53,Jamtara,60.0,Bank Transfer,0
UID00504,5007709903,2274.62,04:06,Mumbai,1.0,ATM Withdrawal,0
UID00601,8043331569,1396.75,03:03,Tarapith,1.0,POS Purchase,0
UID00092,9335206226,3464.22,06:04,Delhi,180.0,POS Purchase,0
UID00395,6331614082,616.48,02:30,Kolkata,1.0,UPI Transfer,0
UID00813,9457405199,241.32,02:38,Jamtara,0.5,Online Purchase,0
UID00775,5673526359,526.44,13:15,Jamtara,60.0,ATM Withdrawal,0
UID00245,0228671066,3738.21,00:10,Jamtara,30.0,Bank Transfer,0
UID00197,5777414905,518.71,10:12,Pune,5.0,ATM Withdrawal,0
UID00884,9975261587,2065.12,23:35,Mumbai,10.0,Online Purchase,0
UID00108,5111424124,4970.6,09:26,Hyderabad,720.0,ATM Withdrawal,0
UID00688,3717419066,90946.15,00:34,Ahmedabad,60.0,UPI Transfer,1
UID00005,3401176170,610.9,20:56,Tarapith,0.5,Online Purchase,0
UID00128,7383181720,47.54,03:16,Kolkata,0.5,Online Purchase,1
UID00065,5426078241,31615.17,01:19,Mumbai,1.0,Online Purchase,1
UID00484,5466248223,3256.68,09:08,Delhi,1.0,Online Purchase,0
UID00523,4603895159,1266.52,22:27,Bangalore,180.0,POS Purchase,0
UID00865,7464533164,146.79,01:49,Jamtara,60.0,POS Purchase,0
UID00707,3713463107,68.71,17:27,Chennai,60.0,UPI Transfer,1
UID00054,1883041544,1601.56,15:15,Pune,10.0,POS Purchase,0
UID00380,9736970168,865.56,11:53,Jamtara,10.0,Online Purchase,0
UID00861,7504093701,2639.86,19:25,Mumbai,1440.0,Bank Transfer,0
UID00275,0952905509,2467.15,18:09,Jamtara,1440.0,Online Purchase,0
UID00457,2668063992,477.13,20:06,Hyderabad,1.0,Bank Transfer,0
UID00275,0627890880,2561.28,06:05,Tarapith,1.0,ATM Withdrawal,0
UID00841,1795928223,4782.3,05:21,Kolkata,180.0,UPI Transfer,0
UID00354,0385616271,550.45,08:50,Hyderabad,5.0,UPI Transfer,0
UID00506,3235737421,3639.9,00:38,Hyderabad,30.0,ATM Withdrawal,0
UID00608,3741587199,9789.36,10:36,Hyderabad,5.0,POS Purchase,1
